,Lesson date,Lesson format,Group,Course,Length,Currency,rate
9,2026-01-14T00:00:00.000,premium replacement,PRM_COL6894_MI-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
344,2026-01-01T00:00:00.000,correction,Congrats! You have a bonus for high retention – 30%,,,COP,570825
585,2026-01-06T00:00:00.000,premium,PRM_COL7779_MA-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
661,2026-01-05T00:00:00.000,replacement,COL9769_SA-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
1779,2026-01-20T00:00:00.000,premium,PRM_COL7628_MA-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
2351,2026-01-26T00:00:00.000,premium replacement,PRM_COL9292_LU-19,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
3518,2026-01-15T00:00:00.000,extra,https://drive.google.com/file/d/1Ye5PjOcduJB0c6XvZYEAlN1Jf8WMOyCO/view?usp=sharing,,60,COP,21500
3523,2026-01-21T00:00:00.000,extra,https://drive.google.com/file/d/1Z_MK5yYjJ3JThzkc4h2I-1AXpBtAGJOJ/view?usp=sharing,,60,COP,21500
3526,2026-01-23T00:00:00.000,extra,https://drive.google.com/file/d/1-nJUG_bSKG3662i3VTCcNABFBupBbTqh/view?usp=sharing,,60,COP,21500
3528,2026-01-16T00:00:00.000,extra,https://drive.google.com/file/d/1VDObPbAyE7M1H2qf7hxkfn5p96TIlhfb/view?usp=sharing,,60,COP,21500
3532,2026-01-17T00:00:00.000,extra,https://drive.google.com/file/d/1UKZsHZUkXOaMGIPdzjLpt-PmX6X1_QQc/view?usp=sharing,,60,COP,21500
3535,2026-01-12T00:00:00.000,extra,https://drive.google.com/file/d/11YLLHEBlBO7vQyGAT9KbI1MOYvfOqAlB/view?usp=sharing,,30,COP,10750
3564,2026-01-09T00:00:00.000,extra,https://drive.google.com/file/d/1WFbLQl545U27RuYc4Mi_u_9gvQkLdM1E/view?usp=sharing,,60,COP,21500
3574,2026-01-10T00:00:00.000,extra,https://drive.google.com/file/d/1t3P6DW8bMUpGjWwip__mY5NDJtBVYh7c/view?usp=sharing,,60,COP,21500
