,Lesson date,Lesson format,Group,Course,Length,Currency,rate
1,2026-01-05T00:00:00.000,premium replacement,TST_GRP_8821_MI-18,[STUB] Advanced Coding LVL2[None][12-18][90 min][50 L][Global][active],90,USD,45000
2,2026-01-01T00:00:00.000,correction,System Adjustment - Achievement Bonus 25%,,,USD,650000
3,2026-01-10T00:00:00.000,premium,TST_GRP_1122_MA-15,[STUB] Logic & Algorithms[None][14-18][90 min][60 L][Global][active],90,USD,45000
4,2026-01-08T00:00:00.000,replacement,TST_GRP_4455_SA-10,[STUB] Data Science Intro[None][12-16][90 min][40 L][Global][active],90,USD,45000
5,2026-01-15T00:00:00.000,premium,TST_GRP_9900_MI-19,[STUB] Web Architecture[None][15-20][90 min][40 L][Global][active],90,USD,45000
6,2026-01-20T00:00:00.000,premium,TST_GRP_7733_LU-17,[STUB] Advanced Coding LVL2[None][12-18][90 min][50 L][Global][active],90,USD,45000
7,2026-01-12T00:00:00.000,extra,https://drive.google.com/stub-file-01,,60,USD,30000
8,2026-01-14T00:00:00.000,extra,https://drive.google.com/stub-file-02,,60,USD,30000
9,2026-01-18T00:00:00.000,extra,https://drive.google.com/stub-file-03,,60,USD,30000
10,2026-01-22T00:00:00.000,extra,https://drive.google.com/stub-file-04,,60,USD,30000
11,2026-01-25T00:00:00.000,extra,https://drive.google.com/stub-file-05,,30,USD,15000
12,2026-01-26T00:00:00.000,2026-01-01 00:00:00,IND_772_DEMO,[STUB] Individual Mentorship[None][All][60 min][1 L][Global][active],60,USD,30000
13,2026-01-28T00:00:00.000,2026-01-01 00:00:00,IND_119_DEMO,[STUB] Project Review[None][All][60 min][1 L][Global][active],60,USD,30000
14,2026-01-05T00:00:00.000,group,TST_GRP_2233_LU-14,[STUB] Intro to JavaScript[None][13-17][90 min][40 L][Global][active],90,USD,40000
15,2026-01-07T00:00:00.000,group,TST_GRP_4455_MI-15,[STUB] Frontend Basics[None][12-16][90 min][40 L][Global][active],90,USD,40000
16,2026-01-12T00:00:00.000,group,TST_GRP_6677_LU-16,[STUB] Design Systems[None][14-19][90 min][45 L][Global][active],90,USD,40000
17,2026-01-14T00:00:00.000,group,TST_GRP_8899_MI-17,[STUB] Backend Foundations[None][15-20][90 min][50 L][Global][active],90,USD,40000
18,2026-01-19T00:00:00.000,group,TST_GRP_1111_LU-18,[STUB] Mobile Dev[None][13-18][90 min][40 L][Global][active],90,USD,40000
19,2026-01-21T00:00:00.000,group,TST_GRP_3333_MI-19,[STUB] Cloud Services[None][16-22][90 min][60 L][Global][active],90,USD,40000
20,2026-01-26T00:00:00.000,group,TST_GRP_5555_LU-20,[STUB] Final Project Lab[None][All][90 min][1 L][Global][active],90,USD,40000
21,2026-01-30T00:00:00.000,bonus,Annual Performance Incentive,,,USD,120000
